0,0
-0.00034093,-0.00034093
-0.0011105,-0.0011105
-0.0020724,-0.0020724
-0.0034988,-0.0034988
-0.0057666,-0.0057666
-0.0090738,-0.0090738
-0.012996,-0.012996
-0.016986,-0.016986
-0.020722,-0.020722
-0.02465,-0.02465
-0.02937,-0.02937
-0.03521,-0.03521
-0.041536,-0.041536
-0.047726,-0.047726
-0.053885,-0.053885
-0.059874,-0.059874
-0.065583,-0.065583
-0.071428,-0.071428
-0.077921,-0.077921
-0.085541,-0.085541
-0.094221,-0.094221
-0.10184,-0.10184
-0.10664,-0.10664
-0.10984,-0.10984
-0.11302,-0.11302
-0.11682,-0.11682
-0.12237,-0.12237
-0.13095,-0.13095
-0.14321,-0.14321
-0.15761,-0.15761
-0.17249,-0.17249
-0.18749,-0.18749
-0.20242,-0.20242
-0.21385,-0.21385
-0.22179,-0.22179
-0.22696,-0.22696
-0.22955,-0.22955
-0.22963,-0.22963
-0.22334,-0.22334
-0.21179,-0.21179
-0.1966,-0.1966
-0.17841,-0.17841
-0.15764,-0.15764
-0.13464,-0.13464
-0.10944,-0.10944
-0.080845,-0.080845
-0.047413,-0.047413
-0.0078157,-0.0078157
0.038631,0.038631
0.090351,0.090351
0.14532,0.14532
0.20188,0.20188
0.23609,0.23609
0.2573,0.2573
0.2734,0.2734
0.28609,0.28609
0.29608,0.29608
0.30373,0.30373
0.30922,0.30922
0.31265,0.31265
0.31419,0.31419
0.3147,0.3147
0.31513,0.31513
0.31631,0.31631
0.31897,0.31897
0.32364,0.32364
0.33035,0.33035
0.33804,0.33804
0.34582,0.34582
0.35344,0.35344
0.3608,0.3608
0.36779,0.36779
0.3743,0.3743
0.38023,0.38023
0.38552,0.38552
0.39013,0.39013
0.39401,0.39401
0.39693,0.39693
0.3988,0.3988
0.39974,0.39974
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.37455,0.37455
0.32573,0.32573
0.25748,0.25748
0.17348,0.17348
0.07645,0.07645
-0.033936,-0.033936
-0.15742,-0.15742
-0.24733,-0.24733
-0.28413,-0.28413
-0.30888,-0.30888
-0.32687,-0.32687
-0.34002,-0.34002
-0.34934,-0.34934
-0.35544,-0.35544
-0.35865,-0.35865
-0.35905,-0.35905
-0.32915,-0.32915
-0.26396,-0.26396
-0.17212,-0.17212
-0.064018,-0.064018
0.050658,0.050658
0.1629,0.1629
0.23796,0.23796
0.26566,0.26566
0.28013,0.28013
0.28563,0.28563
0.27393,0.27393
0.23414,0.23414
0.17647,0.17647
0.11043,0.11043
0.044867,0.044867
-0.011977,-0.011977
-0.052437,-0.052437
-0.069384,-0.069384
-0.05619,-0.05619
-0.014185,-0.014185
0.025436,0.025436
