dis, vel, acc, tacc, force, scale, im, gm
0.013356028288207956,0.08820310658823145,0.8270681857008773,0.4548943633707395,0.4437967025481735,0.43172572783186264,0.06869118979416314,sv01
0.015654631442530716,0.10338306388165627,0.9694085206768448,0.5331827284418741,0.5201751346944972,0.5060267174960402,0.08051310137804697,sv01
0.01834882948083011,0.12117552670174025,1.1362459543338632,0.6249447010118901,0.6096984704952074,0.5931150781904342,0.09436959110675489,sv01
0.02151489135815756,0.14141088728055318,1.3335972571292216,0.7281981496926723,0.7073335972696665,0.6951915458487574,0.11061081455352244,sv01
0.025299085173681513,0.16210053764891996,1.569117765066876,0.8305460982809317,0.8015622968212981,0.8148356081151804,0.12964718987023338,sv01
0.02991685769148887,0.18342370669288205,1.8496268904601547,0.9347120659773285,0.8956685110879931,0.9550706883838933,0.15195976911565987,sv01
0.03605529882900818,0.20551023751114977,2.1810637820902143,1.0432806848906524,0.9914945323544077,1.1194405481616438,0.1781123945131221,sv01
0.04560743192016813,0.2284446067034003,2.570631231840861,1.1582091416893796,1.0892788733975731,1.312098838452401,0.20876594682802002,sv01
0.05572814000843853,0.25239897457078214,3.0133066582746535,1.2807407238715594,1.1879790225478069,1.53791406314107,0.24469504592387462,sv01
0.07181591603898771,0.27692369955496343,3.5068261480513834,1.4099464982859646,1.282389619157715,1.802592606816698,0.28680762552243394,sv01
0.0892591105631609,0.3011233431009158,4.065421090597509,1.5503254700573428,1.3661693426096762,2.112822935966717,0.3361678768249668,sv01
0.11524607200171341,0.35663180820908513,4.713241316638726,1.6909943683228559,1.4157266221945781,2.4764446175280215,0.3940231407834955,sv01
0.15119641516290552,0.4234726918296391,5.447674862221588,1.8318443496669432,1.4188527692307693,2.902646425919015,0.46183542859369303,sv01
0.1914001172039525,0.5014270909831797,6.29179043626559,1.9691405027805562,1.4188527692307693,3.402198544747021,0.541318366937027,sv01
0.23147853288621104,0.594500516022321,7.240053557370523,2.1042393577412515,1.4188527692307693,3.9877247309630466,0.6344805015839609,sv01
0.2598398072229934,0.7218265934916402,8.28593448070645,2.2510307961221763,1.4188527692307693,4.674021319092867,0.7436760536467556,sv01
0.3221369733257832,0.8675103584197538,9.470528715862828,2.41898640920308,1.4188527692307693,5.478431126829215,0.8716644110999936,sv01
0.385265298223396,1.0268421922007933,10.99968025322205,2.602676581125834,1.4188527692307693,6.421281710635457,1.0216798589284706,sv01
0.5250956770652574,1.196162053548758,12.739381056642836,2.79788173067358,1.4188527692307693,7.526399046145532,1.1975133099937418,sv01
0.80456670795112,1.386427373144195,14.795228224003091,3.0172344390309886,1.4188527692307693,8.821709614140973,1.4036081019705877,sv01
1.1516681683685595,1.6039189552644886,17.221534407568218,3.2679757075105247,1.4188527692307693,10.339946106907828,1.6451722811563336,sv01
1.4578596028169846,1.8531925650806476,20.07666375468833,3.555357777724196,1.4188527692307693,12.119474588279024,1.9283102105817345,sv01
1.7231921454589112,2.139921356097067,23.42367005076196,3.885921103753505,1.4188527692307693,14.205264009820477,2.2601768281801204,sv01
1.9050803908430454,2.4694714491876137,27.347921799202318,4.265852168503264,1.4188527692307693,16.650022582980238,2.6491584531418533,sv01
2.0948747843242304,2.8477566140215966,31.948127932937027,4.701968827147097,1.4188527692307693,19.51552972349546,3.1050847094578056,sv01
2.2622512615698906,3.279147280184786,37.360413077407514,5.199309651971127,1.4188527692307693,22.874197226491958,3.6394769219915735,sv01
2.361139795107499,3.771339366726682,43.72706934787967,5.766747099029862,1.4188527692307693,26.810899123405186,4.265839262086402,sv01
2.509425679189173,4.42315562750763,51.20098983255818,6.518211750905016,1.4188527692307693,31.425116461481597,4.999999999999999,sv01
0.010492463323915785,0.06548237426230523,0.7938761835047307,0.356390803451907,0.3486456096287783,0.3370887197822844,0.08051310137804697,sv02
0.012298240368747408,0.07675204132079533,0.9305040986430064,0.41772647954578174,0.4086483200708504,0.3951024629294351,0.09436959110675489,sv02
0.0144147957918279,0.08996124397248861,1.0906459918837876,0.48961816641618516,0.4789776348382429,0.4631005045607274,0.11061081455352244,sv02
0.01689561526607742,0.10544378074912386,1.278348672882669,0.5738825777705396,0.5614107862610557,0.5428011653845426,0.12964718987023338,sv02
0.019807456215832762,0.12359089767666502,1.4983554165346513,0.6725904198791751,0.6572688700087996,0.6362184930510729,0.15195976911565987,sv02
0.02334980169320624,0.14380162922667616,1.756225826241999,0.7661212610403715,0.7450006124722466,0.745713157438451,0.1781123945131221,sv02
0.027843843581043637,0.16413297968962792,2.0584763259258816,0.844728153733013,0.8223112966333053,0.8740521051345541,0.20876594682802002,sv02
0.03307696676511631,0.184545553692721,2.411859253043802,0.9466762709621566,0.9064860074788282,1.0244784805921858,0.24469504592387462,sv02
0.03827487101113559,0.20513619297573069,2.821702507360546,1.0427813863343118,0.990165624413747,1.2007935808757102,0.28680762552243394,sv02
0.04321726157920446,0.23980521534889152,3.2976043233286165,1.1353707637630643,1.0676113754863152,1.4074529150078745,0.3361678768249668,sv02
0.046611200206208896,0.27755824902679566,3.85411482520738,1.221940219771042,1.1414345801820969,1.6496787953509235,0.3940231407834955,sv02
0.05114158104771908,0.3174008586248166,4.523460037646405,1.356008840060995,1.2654239566944083,1.9335923062230815,0.46183542859369303,sv02
0.06726669561990176,0.3614397849448708,5.334765227970202,1.5148181492101194,1.3676293285513843,2.2663679846171334,0.541318366937027,sv02
0.09011189147703164,0.41382601539877156,6.321039922430931,1.6696505239937776,1.4184197272549912,2.6564151218260657,0.6344805015839609,sv02
