dis, vel, acc, tacc, force, scale, im, gm
0.004277212497129897,0.0647355298052967,1.2835890658707925,1.4015188992224814,1.3784292338307802,0.5060267174960402,0.08051310137804697,sv01
0.005013330594924868,0.07587666321683545,1.5044976931960095,1.6427235218152654,1.6156600719603724,0.5931150781904342,0.09436959110675489,sv01
0.005876136308606326,0.08893521128562693,1.7634252028288617,1.925440014131962,1.8937188823778603,0.6951915458487574,0.11061081455352244,sv01
0.006897377794340926,0.10127253422273781,2.0677521260622034,2.2152307421926745,2.1585751567947504,0.8148356081151804,0.12964718987023338,sv01
0.00816744741741605,0.11014920982436538,2.425144609841536,2.444534082865288,2.3562636985779513,0.9550706883838933,0.15195976911565987,sv01
0.00980842080369923,0.122527213117136,2.843787685847709,2.6635185155652836,2.5420399186060907,1.1194405481616438,0.1781123945131221,sv01
0.011926962014152807,0.14390171826242038,3.334330468861588,2.89048602408717,2.7278131495456535,1.312098838452401,0.20876594682802002,sv01
0.01467057979404733,0.16898001250404435,3.910060742179506,3.1344179797193013,2.9187360516992817,1.53791406314107,0.24469504592387462,sv01
0.018219054267132728,0.19449972587899905,4.52584744849746,3.4004962298937125,3.1157358159604605,1.802592606816698,0.28680762552243394,sv01
0.022472467071928272,0.22061025465042872,5.15603869205456,3.68395642408515,3.309788119983444,2.112822935966717,0.3361678768249668,sv01
0.027643252905856213,0.2571348665079708,5.869602063628675,3.977243128410956,3.5078414600038776,2.4764446175280215,0.3940231407834955,sv01
0.035803565508504546,0.30209459486945167,6.699956519129134,4.2948365074137325,3.660902962272694,2.902646425919015,0.46183542859369303,sv01
0.04309257218973934,0.3565264528198485,7.4785858313560505,4.638895232842366,3.808156167397659,3.402198544747021,0.541318366937027,sv01
0.052995657978278515,0.421068369950812,8.397945197128248,5.010361607811332,3.9128681814375925,3.9877247309630466,0.6344805015839609,sv01
0.06561341243460747,0.4960605867285942,9.453544855239532,5.403826181794982,3.942012,4.674021319092867,0.7436760536467556,sv01
0.09478993810057564,0.5831223939108802,10.68007748919706,5.827252393489431,3.942012,5.478431126829215,0.8716644110999936,sv01
0.1354490041540677,0.6833978932839249,12.109085006981587,6.278843174656151,3.942012,6.421281710635457,1.0216798589284706,sv01
0.20280490261473783,0.7932447741018107,13.776342010732053,6.735415957384742,3.942012,7.526399046145532,1.1975133099937418,sv01
0.2798982817388734,0.9246038880120023,15.719707982473123,7.25255104789406,3.942012,8.821709614140973,1.4036081019705877,sv01
0.35257729302346935,1.069049380833234,17.978793259612875,7.780317921314749,3.942012,10.339946106907828,1.6451722811563336,sv01
0.3926799809021845,1.2343575207605553,20.601277958056006,8.373838878999624,3.942012,12.119474588279024,1.9283102105817345,sv01
0.4615997925593439,1.429964120132631,23.468219090529935,9.07614317109219,3.942012,14.205264009820477,2.2601768281801204,sv01
0.5578874146474098,1.6575120187186507,26.980054870881432,9.89312923570663,3.942012,16.650022582980238,2.6491584531418533,sv01
0.6648513441392873,1.9188686231041405,31.257720533120555,10.831501793769062,3.942012,19.51552972349546,3.1050847094578056,sv01
0.7881367397829746,2.2254178572161343,36.327242543458134,11.932133590168853,3.942012,22.874197226491958,3.6394769219915735,sv01
0.9940516817124788,2.686289204868889,42.33478169527407,13.586842207352763,3.942012,26.810899123405186,4.265839262086402,sv01
1.251228730325546,3.2281707812198226,49.62595990127049,15.532409269501048,3.942012,31.425116461481597,4.999999999999999,sv01
0.004029644141903899,0.07490841651700407,1.4203856276799316,1.3209193810850446,1.2986446876002828,0.3951024629294351,0.09436959110675489,sv02
0.004723155156967883,0.08780032710417524,1.664837257587181,1.5482526414262825,1.522144422015939,0.4631005045607274,0.11061081455352244,sv02
0.005536021011089163,0.10291096512299494,1.9513595746372718,1.8147104781780274,1.784108974222656,0.5428011653845426,0.12964718987023338,sv02
0.0064901625663760076,0.12062217866205044,2.2871930407463026,2.116495250607035,2.072794586160122,0.6362184930510729,0.15195976911565987,sv02
0.007684072968027711,0.14138153274328327,2.629351003105743,2.401905070721656,2.3207871905620596,0.745713157438451,0.1781123945131221,sv02
0.009109574947677303,0.16571464106668343,2.966303797330082,2.5935531028695338,2.483537217535481,0.8740521051345541,0.20876594682802002,sv02
0.011520363187541743,0.18813925718798682,3.363237490696223,2.8142518523204028,2.665120344633133,1.0244784805921858,0.24469504592387462,sv02
0.015633017403054915,0.20985405450880598,3.742251005335646,3.021476744179216,2.826406135086037,1.2007935808757102,0.28680762552243394,sv02
0.020083194577857337,0.2327157141819396,4.117832884882173,3.2421746788635417,2.987824722605424,1.4074529150078745,0.3361678768249668,sv02
0.022793367481481676,0.2581833299444998,4.552146145858898,3.4712476101964547,3.1464259766350047,1.6496787953509235,0.3940231407834955,sv02
0.028222511390216778,0.28707724186040656,5.124021396909827,3.7148357576234727,3.3025553245194645,1.9335923062230815,0.46183542859369303,sv02
0.03497740933134145,0.3200147646583103,5.809449656472949,3.9662238056756367,3.4523652289330915,2.2663679846171334,0.541318366937027,sv02
0.042788531432974966,0.3575412435077755,6.633137296968696,4.229851936689611,3.5936274428298374,2.6564151218260657,0.6344805015839609,sv02
0.05725149958285318,0.3999203308156163,7.618157730128598,4.510182464358188,3.722879211600483,3.113590267495012,0.7436760536467556,sv02
0.07141054848339412,0.4473738633041313,8.79317968880089,4.820391714455766,3.8341011298676317,3.6494463061087856,0.8716644110999936,sv02
0.08430307801633014,0.5002449143287296,10.168187263838199,5.151091751725145,3.9143523803659543,4.277524400115181,1.0216798589284706,sv02
